method,number of splits,accuracy mean,accuracy std,precision mean,precision std,recall sensitivity mean,recall sensitivity std,specificity mean,specificity std,f1 mean,f1 std,roc auc mean,roc auc std,false positive rate mean,false positive rate std,false negative rate mean,false negative rate std
Dynamic GCN,3,0.7910915051132442,0.07776273529285932,0.6219456652392757,0.10067445752115481,0.6873546355880525,0.2666878458518219,0.834659161133021,0.03472027038919991,0.645240920761594,0.16365513993004469,0.8814106479738962,0.08568337110889519,0.16534083886697903,0.03472027038919993,0.3126453644119475,0.2666878458518219
Validation Tuned Fusion,3,0.775365377376247,0.03867391285085765,0.6172414654870796,0.08694425860781058,0.6950144073690917,0.26475641687452756,0.8090688119609144,0.09940512235784991,0.631056273636047,0.1006792220091385,0.8884111861973037,0.07853367572824003,0.1909311880390857,0.09940512235784986,0.30498559263090835,0.26475641687452756
Hybrid DPC GAT alpha 0.5,3,0.7697442593638245,0.03482135571739569,0.5988753965660074,0.061485407476619174,0.6999608400109881,0.2539233022075209,0.7990722950678458,0.08813222267092692,0.6280329257458909,0.09810671779939624,0.8873933758258387,0.07755342703499331,0.2009277049321543,0.08813222267092692,0.3000391599890118,0.2539233022075209
