metric,mean,lower 95,upper 95
f1 difference,0.01612728270880263,-0.004121121940578554,0.036195100771781064
false positive rate difference,-0.023241960129943104,-0.04892563245619954,0.0018659341659432724
recall difference,-0.004670606066078836,-0.014927238805970192,0.0
