method,alpha,threshold,accuracy,precision,recall sensitivity,specificity,f1,roc auc,false positive rate,false negative rate,tn,fp,fn,tp
Patient Calibrated GAT alpha 0.25,0.25,0.1,0.7404891304347826,0.528395061728395,1.0,0.6340996168582376,0.691437802907916,0.9818902853869015,0.36590038314176243,0.0,331,191,0,214
Patient Calibrated GAT alpha 0.5,0.5,0.1,0.7459239130434783,0.5336658354114713,1.0,0.6417624521072797,0.6959349593495935,0.9851398288394744,0.35823754789272033,0.0,335,187,0,214
Patient Calibrated GAT alpha 0.75,0.75,0.11,0.7975543478260869,0.590027700831025,0.9953271028037384,0.7164750957854407,0.7408695652173913,0.9830092741791099,0.2835249042145594,0.004672897196261682,374,148,1,213
Patient Calibrated GAT alpha 1.0,1.0,0.17,0.7445652173913043,0.5323383084577115,1.0,0.6398467432950191,0.6948051948051948,0.981344218856304,0.36015325670498083,0.0,334,188,0,214
Patient Calibrated GAT alpha 1.5,1.5,0.12000000000000001,0.6616847826086957,0.46220302375809935,1.0,0.5229885057471264,0.6322008862629247,0.980807104236044,0.47701149425287354,0.0,273,249,0,214
Patient Calibrated GAT alpha 2.0,2.0,0.1,0.7717391304347826,0.5605263157894737,0.9953271028037384,0.6800766283524904,0.7171717171717171,0.9815143051527196,0.31992337164750956,0.004672897196261682,355,167,1,213
