final f1,baseline f1,f1 difference,final false positive rate,baseline false positive rate,false positive rate difference,final recall,baseline recall,recall difference
0.8181818181818182,0.8129496402877698,0.005232177894048395,0.18774703557312253,0.1976284584980237,-0.009881422924901184,0.9782608695652174,0.9826086956521739,-0.004347826086956497
0.7950310559006211,0.7643564356435644,0.030674620257056695,0.17744916820702403,0.21626617375231053,-0.0388170055452865,0.9846153846153847,0.9897435897435898,-0.00512820512820511
0.7795918367346939,0.7634194831013916,0.016172353633302272,0.1922365988909427,0.2144177449168207,-0.022181146025878007,0.9794871794871794,0.9846153846153847,-0.005128205128205221
0.8208695652173913,0.8081494057724957,0.012720159444895573,0.19797979797979798,0.2222222222222222,-0.024242424242424232,0.979253112033195,0.9875518672199171,-0.008298755186722073
0.7755905511811023,0.7576923076923077,0.017898243488794652,0.205607476635514,0.22803738317757008,-0.022429906542056066,0.9800995024875622,0.9800995024875622,0.0
0.8051001821493625,0.8021778584392014,0.002922323710161101,0.2,0.20392156862745098,-0.0039215686274509665,0.9778761061946902,0.9778761061946902,0.0
0.8076923076923077,0.7763401109057301,0.031352196786577635,0.1839080459770115,0.22413793103448276,-0.04022988505747127,0.9813084112149533,0.9813084112149533,0.0
0.7938342967244701,0.7796610169491526,0.014173279775317571,0.19428571428571428,0.21523809523809523,-0.020952380952380945,0.976303317535545,0.981042654028436,-0.004739336492891044
0.8333333333333334,0.809437386569873,0.023895946763460407,0.162426614481409,0.20156555772994128,-0.03913894324853229,0.9777777777777777,0.9911111111111112,-0.01333333333333342
0.7950310559006211,0.7664670658682635,0.028563990032357545,0.17896678966789667,0.21217712177121772,-0.033210332103321055,0.9896907216494846,0.9896907216494846,0.0
0.7886792452830189,0.7712177121771218,0.017461533105897153,0.20650095602294455,0.2294455066921606,-0.02294455066921605,0.9812206572769953,0.9812206572769953,0.0
0.8254545454545454,0.7916666666666666,0.03378787878787881,0.18379446640316205,0.233201581027668,-0.04940711462450595,0.9869565217391304,0.991304347826087,-0.004347826086956608
0.8040816326530612,0.7755905511811023,0.02849108147195889,0.1750465549348231,0.2085661080074488,-0.03351955307262569,0.9899497487437185,0.9899497487437185,0.0
0.7976878612716763,0.7886792452830189,0.009008615988657431,0.18929254302103252,0.20650095602294455,-0.017208413001912032,0.971830985915493,0.9812206572769953,-0.009389671361502261
0.7857142857142857,0.7749510763209393,0.010763209393346407,0.19626168224299065,0.20934579439252338,-0.013084112149532728,0.9850746268656716,0.9850746268656716,0.0
0.7917525773195876,0.7613412228796844,0.03041135443990317,0.17962962962962964,0.21851851851851853,-0.03888888888888889,0.9795918367346939,0.9846938775510204,-0.005102040816326592
0.7819548872180451,0.7821229050279329,-0.00016801780988784376,0.2092130518234165,0.21497120921305182,-0.00575815738963531,0.9674418604651163,0.9767441860465116,-0.009302325581395321
0.7873684210526316,0.7739307535641547,0.013437667488476857,0.17495395948434622,0.19889502762430938,-0.023941068139963162,0.9689119170984456,0.9844559585492227,-0.015544041450777146
0.7962264150943397,0.7895716945996276,0.006654720494712052,0.19961612284069097,0.21113243761996162,-0.011516314779270648,0.9813953488372092,0.986046511627907,-0.0046511627906977715
0.8133595284872298,0.8109161793372319,0.0024433491499978865,0.1717557251908397,0.17748091603053434,-0.005725190839694638,0.9764150943396226,0.9811320754716981,-0.004716981132075526
0.8052930056710775,0.7787934186471663,0.026499587023911197,0.1907514450867052,0.2254335260115607,-0.0346820809248555,0.9815668202764977,0.9815668202764977,0.0
0.8007662835249042,0.7720588235294118,0.0287074599954924,0.19428571428571428,0.2342857142857143,-0.04000000000000001,0.990521327014218,0.995260663507109,-0.004739336492890933
0.8213627992633518,0.800718132854578,0.020644666408773715,0.1794871794871795,0.20710059171597633,-0.027613412228796846,0.9737991266375546,0.9737991266375546,0.0
0.7945205479452054,0.7733333333333333,0.02118721461187212,0.1893939393939394,0.2159090909090909,-0.02651515151515152,0.9759615384615384,0.9759615384615384,0.0
0.8250460405156538,0.8130671506352087,0.011978889880445043,0.17913385826771652,0.19488188976377951,-0.015748031496062992,0.9824561403508771,0.9824561403508771,0.0
0.8473967684021544,0.8292682926829268,0.0181284757192276,0.16161616161616163,0.1919191919191919,-0.030303030303030276,0.979253112033195,0.9875518672199171,-0.008298755186722073
0.7821011673151751,0.7660377358490567,0.01606343146611844,0.2003780718336484,0.22684310018903592,-0.026465028355387527,0.9710144927536232,0.9806763285024155,-0.009661835748792313
0.7924528301886793,0.7761806981519507,0.016272132036728615,0.1779816513761468,0.1963302752293578,-0.01834862385321101,0.9895287958115183,0.9895287958115183,0.0
0.8107074569789675,0.8045112781954887,0.0061961787834787785,0.18269230769230768,0.19615384615384615,-0.01346153846153847,0.9814814814814815,0.9907407407407407,-0.00925925925925919
0.7931034482758621,0.7886792452830189,0.004424202992843185,0.19348659003831417,0.2049808429118774,-0.011494252873563232,0.9672897196261683,0.9766355140186916,-0.009345794392523366
0.7969052224371374,0.7738317757009345,0.02307344673620282,0.19507575757575757,0.22727272727272727,-0.032196969696969696,0.9903846153846154,0.9951923076923077,-0.004807692307692291
0.8242424242424242,0.779467680608365,0.0447747436340592,0.1555977229601518,0.2125237191650854,-0.05692599620493358,0.9760765550239234,0.9808612440191388,-0.004784688995215336
0.8082706766917294,0.7875457875457875,0.02072488914594184,0.1926782273603083,0.21965317919075145,-0.026974951830443156,0.9907834101382489,0.9907834101382489,0.0
0.7945205479452054,0.7689393939393939,0.025581154005811513,0.19092627599243855,0.22306238185255198,-0.03213610586011342,0.9806763285024155,0.9806763285024155,0.0
0.8178438661710037,0.8103130755064457,0.007530790664557974,0.1883495145631068,0.19805825242718447,-0.009708737864077666,0.995475113122172,0.995475113122172,0.0
0.7878787878787878,0.7572815533980582,0.030597234480729596,0.1895910780669145,0.22676579925650558,-0.03717472118959109,0.9848484848484849,0.9848484848484849,0.0
0.7674418604651163,0.7425373134328358,0.02490454703228051,0.21132075471698114,0.24716981132075472,-0.03584905660377358,0.9611650485436893,0.9660194174757282,-0.004854368932038833
0.7876588021778584,0.775,0.01265880217785842,0.22093023255813954,0.23837209302325582,-0.017441860465116282,0.9863636363636363,0.9863636363636363,0.0
0.7879924953095685,0.7879924953095685,0.0,0.20881226053639848,0.20881226053639848,0.0,0.9813084112149533,0.9813084112149533,0.0
0.7976424361493124,0.7689393939393939,0.028703042209918483,0.1856060606060606,0.2215909090909091,-0.03598484848484848,0.9759615384615384,0.9759615384615384,0.0
0.849015317286652,0.8091286307053942,0.039886686581257824,0.12407407407407407,0.1685185185185185,-0.04444444444444444,0.9897959183673469,0.9948979591836735,-0.005102040816326592
0.8250950570342205,0.7948717948717948,0.030223262162425657,0.17567567567567569,0.21428571428571427,-0.03861003861003859,0.9954128440366973,0.9954128440366973,0.0
0.8301158301158301,0.8128544423440454,0.017261387771784764,0.1673076923076923,0.18846153846153846,-0.021153846153846162,0.9953703703703703,0.9953703703703703,0.0
0.7992565055762082,0.7832422586520947,0.016014246924113462,0.2011605415860735,0.22243713733075435,-0.021276595744680854,0.9817351598173516,0.9817351598173516,0.0
0.8215613382899628,0.8036036036036036,0.017957734686359195,0.181640625,0.2109375,-0.029296875,0.9866071428571429,0.9955357142857143,-0.008928571428571397
0.8016032064128257,0.7897838899803536,0.011819316432472027,0.1801125703564728,0.19699812382739212,-0.01688555347091933,0.9852216748768473,0.9901477832512315,-0.0049261083743842304
0.8153564899451554,0.8108108108108109,0.00454567913434456,0.1905697445972495,0.20235756385068762,-0.011787819253438109,0.9823788546255506,0.9911894273127754,-0.008810572687224738
0.8457142857142858,0.8243992606284658,0.02131502508581995,0.154296875,0.18359375,-0.029296875,0.9910714285714286,0.9955357142857143,-0.004464285714285698
0.8180112570356473,0.8066298342541437,0.011381422781503558,0.1825242718446602,0.2,-0.01747572815533982,0.9864253393665159,0.9909502262443439,-0.004524886877828038
0.7898832684824902,0.7669172932330827,0.022965975249407578,0.19507575757575757,0.22727272727272727,-0.032196969696969696,0.9759615384615384,0.9807692307692307,-0.004807692307692291
0.77431906614786,0.7782101167315175,-0.0038910505836575737,0.2101313320825516,0.20825515947467166,0.00187617260787995,0.9802955665024631,0.9852216748768473,-0.0049261083743842304
0.796812749003984,0.7766990291262136,0.020113719877770442,0.18267419962335216,0.2071563088512241,-0.024482109227871945,0.975609756097561,0.975609756097561,0.0
0.7984189723320159,0.7739463601532567,0.02447261217875918,0.1864406779661017,0.21657250470809794,-0.030131826741996243,0.9853658536585366,0.9853658536585366,0.0
0.8060263653483992,0.7795992714025501,0.02642709394584908,0.19111969111969113,0.22586872586872586,-0.034749034749034735,0.981651376146789,0.981651376146789,0.0
0.7768595041322314,0.7595959595959596,0.01726354453627177,0.19413919413919414,0.21428571428571427,-0.02014652014652013,0.9894736842105263,0.9894736842105263,0.0
0.8233009708737864,0.7837338262476895,0.039567144626096895,0.17049808429118773,0.22030651340996169,-0.04980842911877395,0.9906542056074766,0.9906542056074766,0.0
0.808,0.789980732177264,0.018019267822736107,0.16888045540796964,0.19924098671726756,-0.030360531309297917,0.9665071770334929,0.9808612440191388,-0.014354066985645897
0.7901234567901234,0.758893280632411,0.031230176157712397,0.1860036832412523,0.22283609576427257,-0.036832412523020275,0.9948186528497409,0.9948186528497409,0.0
0.8056537102473498,0.7755102040816326,0.03014350616571715,0.20874751491053678,0.2524850894632207,-0.0437375745526839,0.9785407725321889,0.9785407725321889,0.0
0.8208955223880597,0.8043875685557587,0.01650795383230108,0.1780821917808219,0.19960861056751467,-0.021526418786692758,0.9777777777777777,0.9777777777777777,0.0
0.7695560253699789,0.7439024390243902,0.025653586345588675,0.18795620437956204,0.2208029197080292,-0.03284671532846717,0.9680851063829787,0.973404255319149,-0.005319148936170248
0.7954545454545454,0.7947269303201506,0.0007276151343947879,0.19923371647509577,0.20306513409961685,-0.0038314176245210774,0.9813084112149533,0.985981308411215,-0.004672897196261738
0.7975951903807615,0.7788649706457925,0.018730219734969022,0.18198874296435272,0.2045028142589118,-0.022514071294559096,0.9802955665024631,0.9802955665024631,0.0
0.782608695652174,0.7630057803468208,0.019602915305353186,0.19397363465160075,0.2184557438794727,-0.024482109227871945,0.9658536585365853,0.9658536585365853,0.0
0.8230912476722533,0.8237476808905381,-0.000656433218284791,0.1796875,0.181640625,-0.001953125,0.9866071428571429,0.9910714285714286,-0.004464285714285698
0.8195488721804511,0.8,0.019548872180451093,0.17898832684824903,0.21011673151750973,-0.0311284046692607,0.9819819819819819,0.990990990990991,-0.009009009009009028
0.8022388059701493,0.8,0.002238805970149249,0.19884169884169883,0.20463320463320464,-0.005791505791505808,0.9862385321100917,0.9908256880733946,-0.004587155963302836
0.8023032629558541,0.7961904761904762,0.006112786765377853,0.18773946360153257,0.19540229885057472,-0.007662835249042155,0.9766355140186916,0.9766355140186916,0.0
0.834307992202729,0.8136882129277566,0.020619779274972383,0.15145631067961166,0.1766990291262136,-0.025242718446601947,0.9683257918552036,0.9683257918552036,0.0
0.7695473251028807,0.7540322580645161,0.015515067038364583,0.20109689213893966,0.21937842778793418,-0.018281535648994512,0.9894179894179894,0.9894179894179894,0.0
0.7689161554192229,0.7416173570019724,0.02729879841725047,0.2018348623853211,0.23486238532110093,-0.03302752293577982,0.9842931937172775,0.9842931937172775,0.0
0.817658349328215,0.7903525046382189,0.027305844689996084,0.17374517374517376,0.2084942084942085,-0.034749034749034735,0.9770642201834863,0.9770642201834863,0.0
0.7650727650727651,0.7454909819639278,0.019581783108837292,0.18703703703703703,0.21666666666666667,-0.029629629629629645,0.9387755102040817,0.9489795918367347,-0.010204081632653073
0.7885010266940452,0.7637795275590551,0.02472149913499011,0.18181818181818182,0.21706864564007422,-0.0352504638218924,0.9746192893401016,0.9847715736040609,-0.01015228426395931
0.8188405797101449,0.8107142857142857,0.00812629399585918,0.18811881188118812,0.201980198019802,-0.013861386138613874,0.9783549783549783,0.9826839826839827,-0.0043290043290044045
0.7969924812030075,0.7822878228782287,0.014704658324778741,0.20153550863723607,0.22072936660268713,-0.01919385796545106,0.986046511627907,0.986046511627907,0.0
0.8108108108108109,0.7962264150943397,0.014584395716471188,0.183206106870229,0.20419847328244276,-0.020992366412213748,0.9905660377358491,0.9952830188679245,-0.004716981132075415
0.8149606299212598,0.7908745247148289,0.024086105206430952,0.1682600382409178,0.20076481835564053,-0.03250478011472274,0.971830985915493,0.9765258215962441,-0.0046948356807511304
0.7777777777777778,0.75,0.02777777777777779,0.18853974121996303,0.22181146025878004,-0.03327171903881701,0.9692307692307692,0.9692307692307692,0.0
0.7913385826771654,0.7599243856332704,0.03141419704389503,0.1890359168241966,0.22873345935727787,-0.039697542533081276,0.9710144927536232,0.9710144927536232,0.0
0.8059701492537313,0.7841726618705036,0.02179748738322773,0.195357833655706,0.23017408123791103,-0.03481624758220503,0.9863013698630136,0.9954337899543378,-0.0091324200913242
0.8336673346693386,0.810077519379845,0.023589815289493665,0.14587332053742802,0.1765834932821497,-0.03071017274472168,0.9674418604651163,0.9720930232558139,-0.0046511627906976605
0.8380952380952381,0.8043478260869565,0.033747412008281574,0.15655577299412915,0.2054794520547945,-0.04892367906066536,0.9777777777777777,0.9866666666666667,-0.008888888888888946
0.8255813953488372,0.7947761194029851,0.03080527594585214,0.17049808429118773,0.20881226053639848,-0.038314176245210746,0.9953271028037384,0.9953271028037384,0.0
0.8,0.7849056603773585,0.015094339622641506,0.188212927756654,0.21292775665399238,-0.024714828897338392,0.9809523809523809,0.9904761904761905,-0.009523809523809601
0.844106463878327,0.8314606741573034,0.012645789721023593,0.15789473684210525,0.17348927875243664,-0.015594541910331383,0.9955156950672646,0.9955156950672646,0.0
0.7881188118811882,0.7819253438113949,0.006193468069793262,0.19776119402985073,0.20522388059701493,-0.007462686567164201,0.995,0.995,0.0
0.8200692041522492,0.8115449915110357,0.008524212641213502,0.19715447154471544,0.21544715447154472,-0.018292682926829285,0.9713114754098361,0.9795081967213115,-0.008196721311475419
0.8431001890359168,0.8250460405156538,0.01805414852026299,0.15187376725838264,0.17751479289940827,-0.025641025641025633,0.9737991266375546,0.9781659388646288,-0.004366812227074135
0.7587719298245614,0.7473002159827213,0.011471713841840092,0.18962432915921287,0.20214669051878353,-0.01252236135957066,0.9774011299435028,0.9774011299435028,0.0
0.796875,0.7669172932330827,0.029957706766917336,0.19245283018867926,0.23018867924528302,-0.037735849056603765,0.9902912621359223,0.9902912621359223,0.0
0.8052930056710775,0.7867647058823529,0.01852829978872461,0.1891891891891892,0.21621621621621623,-0.02702702702702703,0.9770642201834863,0.981651376146789,-0.004587155963302725
0.8007246376811594,0.8028933092224232,-0.002168671541263767,0.21206225680933852,0.21206225680933852,0.0,0.9954954954954955,1.0,-0.0045045045045044585
0.7983539094650206,0.7838383838383839,0.014515525626636716,0.17472118959107807,0.19144981412639406,-0.016728624535315983,0.9797979797979798,0.9797979797979798,0.0
0.79296875,0.7597765363128491,0.03319221368715086,0.19433962264150945,0.23962264150943396,-0.04528301886792452,0.9854368932038835,0.9902912621359223,-0.004854368932038833
0.8,0.7788649706457925,0.021135029354207524,0.17790262172284643,0.20599250936329588,-0.02808988764044945,0.9801980198019802,0.9851485148514851,-0.004950495049504955
0.8131021194605009,0.8099808061420346,0.0031213133184663233,0.1785028790786948,0.18234165067178504,-0.0038387715930902344,0.9813953488372092,0.9813953488372092,0.0
0.8214971209213052,0.7925925925925926,0.028904528328712598,0.175,0.21153846153846154,-0.03653846153846155,0.9907407407407407,0.9907407407407407,0.0
0.7992633517495396,0.7890909090909091,0.010172442658630487,0.20388349514563106,0.2174757281553398,-0.013592233009708743,0.9819004524886877,0.9819004524886877,0.0
0.8049281314168378,0.8056112224448898,-0.0006830910280519742,0.1651031894934334,0.17823639774859287,-0.013133208255159484,0.9655172413793104,0.9901477832512315,-0.024630541871921152
0.81640625,0.7924528301886793,0.02395341981132071,0.17049808429118773,0.20306513409961685,-0.032567049808429116,0.9766355140186916,0.9813084112149533,-0.004672897196261627
0.8083333333333333,0.7775551102204409,0.030778223112892467,0.16044776119402984,0.1958955223880597,-0.03544776119402987,0.97,0.97,0.0
0.8156862745098039,0.7893738140417458,0.02631246046805813,0.17333333333333334,0.2057142857142857,-0.03238095238095237,0.985781990521327,0.985781990521327,0.0
0.7976190476190477,0.792156862745098,0.0054621848739496714,0.1891385767790262,0.19850187265917604,-0.009363295880149836,0.995049504950495,1.0,-0.004950495049504955
