method,alpha,threshold,accuracy,precision,recall sensitivity,specificity,f1,roc auc,false positive rate,false negative rate,tn,fp,fn,tp
Hybrid DPC GAT alpha 0.25,0.25,0.14,0.6630434782608695,0.46304347826086956,0.9953271028037384,0.5268199233716475,0.6320474777448071,0.9701722347548967,0.4731800766283525,0.004672897196261682,275,247,1,213
Hybrid DPC GAT alpha 0.5,0.5,0.24000000000000002,0.8084239130434783,0.6051873198847262,0.9813084112149533,0.7375478927203065,0.7486631016042781,0.9709331471335984,0.2624521072796935,0.018691588785046728,385,137,4,210
Hybrid DPC GAT alpha 0.75,0.75,0.1,0.7676630434782609,0.5567282321899736,0.985981308411215,0.6781609195402298,0.7116357504215851,0.9679700648118309,0.3218390804597701,0.014018691588785047,354,168,3,211
Hybrid DPC GAT alpha 1.0,1.0,0.11,0.7364130434782609,0.5248756218905473,0.985981308411215,0.6340996168582376,0.685064935064935,0.9711479929817023,0.36590038314176243,0.014018691588785047,331,191,3,211
Hybrid DPC GAT alpha 1.5,1.5,0.30000000000000004,0.7432065217391305,0.5314861460957179,0.985981308411215,0.6436781609195402,0.690671031096563,0.9466376624771726,0.3563218390804598,0.014018691588785047,336,186,3,211
Hybrid DPC GAT alpha 2.0,2.0,0.1,0.7404891304347826,0.5288220551378446,0.985981308411215,0.6398467432950191,0.6884176182707994,0.9516238765352527,0.36015325670498083,0.014018691588785047,334,188,3,211
